epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.53,3.7148,5.14856,4.38782,0,0,0,0,3.21252,5.10128,4.16359,8.8e-05,8.8e-05,8.8e-05
2,198.873,3.32858,4.52265,4.01698,0,0,0,0,3.25987,5.15043,4.21348,0.000176436,0.000176436,0.000176436
3,227.562,2.81081,3.55582,3.54304,0,0,0,0,3.26167,5.23757,4.26014,0.000261229,0.000261229,0.000261229
4,252.687,2.47656,2.8798,3.10846,0,0,0,0,3.32293,5.33516,4.31899,0.000342378,0.000342378,0.000342378
5,278.922,2.1535,2.32075,2.71978,0.04518,0.06826,0.03982,0.01746,2.30143,4.33324,3.56832,0.00036832,0.00036832,0.00036832
6,304.845,1.98323,1.94429,2.47268,0.12978,0.69973,0.42674,0.20595,1.73178,2.85094,2.68116,0.0003604,0.0003604,0.0003604
7,330.325,1.85647,1.75391,2.31964,0.68602,0.44542,0.50677,0.25211,1.64892,1.80681,2.35243,0.00035248,0.00035248,0.00035248
8,355.725,1.73948,1.53477,2.1961,0.75995,0.49365,0.57409,0.32072,1.57385,1.45762,2.17649,0.00034456,0.00034456,0.00034456
9,380.877,1.7208,1.49227,2.16231,0.73151,0.55359,0.61188,0.3495,1.53692,1.17411,2.13345,0.00033664,0.00033664,0.00033664
10,405.861,1.63242,1.33341,2.01458,0.76558,0.63155,0.65755,0.38638,1.48406,1.12795,2.07041,0.00032872,0.00032872,0.00032872
11,432.729,1.61866,1.30255,1.99865,0.71052,0.66078,0.70235,0.39965,1.68188,1.10528,2.15159,0.0003208,0.0003208,0.0003208
12,458.237,1.54745,1.24542,1.97356,0.69559,0.68033,0.71442,0.40121,1.57754,0.99815,2.06417,0.00031288,0.00031288,0.00031288
13,483.723,1.5464,1.17311,1.90063,0.77019,0.72754,0.73868,0.44691,1.44822,1.00314,1.99151,0.00030496,0.00030496,0.00030496
14,508.463,1.50816,1.11923,1.85023,0.71857,0.77941,0.78417,0.50524,1.33759,0.89165,1.84475,0.00029704,0.00029704,0.00029704
15,534.041,1.508,1.10455,1.84375,0.74829,0.82029,0.83865,0.54402,1.3716,0.88057,1.87201,0.00028912,0.00028912,0.00028912
16,560.077,1.48145,1.07573,1.82918,0.62594,0.36027,0.37336,0.19564,1.6514,9.93604,2.30417,0.0002812,0.0002812,0.0002812
17,584.254,1.45426,1.05804,1.78732,0.79667,0.81128,0.84108,0.55571,1.31199,0.82346,1.82135,0.00027328,0.00027328,0.00027328
18,609.13,1.43781,0.99918,1.79327,0.69574,0.76355,0.79786,0.52378,1.34499,0.86373,1.80703,0.00026536,0.00026536,0.00026536
